Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.20367,0,0,0,0,0.832848,-1.72666,1.20348,-0.285653,0,0,0,0,0.411004,-0.848433,0.589231,-0.139607,0,0,0,0,4.3626,-8.02347,5.27481,-1.20938,0,0,0,0,0,0,0,0
1.39935,0,-0.149141,-0.134608,-0.0175285,-2.17877,3.93034,-2.37529,0.487337,0,-0.077144,-0.0777131,-0.0188344,-0.70314,1.00636,-0.514888,0.0927063,0.5,0.440461,-0.081984,-0.116844,-1.53838,2.47463,-1.36944,0.263393,0,0,0,0,0,0,0,0
1.3624,-0.5,-0.012876,0.185585,-0.0205929,0.789539,-1.13473,0.590816,-0.108697,-0.5,-0.521826,-0.0104919,-0.0241408,-0.494533,1.28085,-0.910668,0.207379,0.5,-0.137313,0.0754433,0.0286866,0.19348,-0.327731,0.177371,-0.0330612,0,0,0,0,0,0,0,0
1.29387,0,0.590821,0.0177605,-0.00586113,0.524592,-1.53727,1.19257,-0.291994,-1,0.0132049,0.152778,0.00371847,1.98454,-3.47301,2.13239,-0.453618,0.5,0.0548397,-0.0327681,-0.0159661,-0.0662387,0.122721,-0.0677818,0.0127061,0,0,0,0,0,0,0,0
1.26367,0.5,-0.0322012,-0.134951,-0.00476974,-1.93497,3.39274,-2.10415,0.453869,-0.5,0.451126,-0.0261397,0.0148841,0.601052,-1.34921,0.968261,-0.230516,0.5,-0.0217914,0.0162344,0.00565815,0.0786492,-0.163052,0.107831,-0.024105,0,0,0,0,0,0,0,0
1.25438,0,-0.502111,-7.21775e-15,-0.0203045,-1.73375,3.87536,-2.77092,0.65924,0,0.255298,6.52969e-15,0.0118359,1.05111,-1.81042,1.11847,-0.241602,0.5,-5.67414e-15,-0.00567065,4.02574e-15,-0.0558094,0.123972,-0.0859765,0.0198541,0,0,0,0,0,0,0,0
1.33801,-0.5,0.0322012,0.134951,0.00269789,0.781159,-1.12474,0.584326,-0.107366,0.5,0.451126,0.0150303,0.0148841,1.03287,-2.18707,1.46484,-0.325982,0.5,0.0191704,0.0162344,-0.00282907,0.0808142,-0.215371,0.154965,-0.035498,0,0,0,0,0,0,0,0
1.33801,0,0.590821,0.0177605,-0.00251191,0.636615,-1.67673,1.22557,-0.286347,1,0.0170756,-0.152778,-0.00190136,-1.42862,2.3002,-1.31494,0.262443,0.5,-0.0681167,-0.0327681,0.0159661,0.0163781,0.13597,-0.143421,0.0389345,0,0,0,0,0,0,0,0
1.37517,0.5,-0.112436,-0.185585,-0.0205929,-2.23302,4.15094,-2.57015,0.538999,0.5,-0.521826,0.0104919,-0.0241408,-0.434982,1.13023,-0.80468,0.18277,0.5,0.139358,0.0754433,0.034381,0.867322,-2.11289,1.46461,-0.326827,0,0,0,0,0,0,0,0
1.17383,0,-0.0668803,0.134608,-0.0175285,-0.0901785,0.0029561,0.0602155,-0.0232904,0,-0.0366434,0.0777131,-0.0188344,-0.046709,0.0104186,0.0245163,-0.0105112,0.5,-0.472038,-0.0755315,0.116844,-3.23053,7.2325,-5.44632,1.3781,0,0,0,0,0,0,0,0
